date,value
20160101,8.91738
20160102,3.39792
20160103,7.02125
20160104,11.76843
20160105,14.11170
20160106,11.98858
20160107,5.65252
20160108,12.40029
20160109,6.24195
20160110,4.80876
20160111,7.83890
20160112,9.82370
20160113,14.87940
20160114,11.39947
20160115,9.80888
20160116,19.15520
20160117,6.98806
20160118,10.71275
20160119,28.10396
20160120,31.28204
20160121,25.20495
20160122,12.87472
20160123,10.42892
20160124,3.90327
20160125,9.32117
20160126,6.12784
20160127,
20160128,
20160129,
20160130,
20160131,
20160201,5.42531
20160202,14.01875
20160203,9.24335
20160204,8.44926
20160205,4.65479
20160206,5.48373
20160207,4.91198
20160208,7.80894
20160209,13.20984
20160210,16.45779
20160211,22.26867
20160212,14.82952
20160213,8.56935
20160214,8.15791
20160215,11.53147
20160216,25.90918
20160217,21.22642
20160218,19.79856
20160219,12.91489
20160220,6.74298
20160221,7.15393
20160222,12.94914
20160223,12.30503
20160224,16.36685
20160225,17.54337
20160226,14.45479
20160227,9.62609
20160228,4.49653
20160229,14.77956
20160301,7.26037
20160302,8.44608
20160303,17.69547
20160304,16.17001
20160305,14.56584
20160306,20.56660
20160307,23.47938
20160308,17.60421
20160309,9.42245
20160310,26.13533
20160311,29.94693
20160312,21.49261
20160313,22.80080
20160314,12.38063
20160315,8.69348
20160316,7.09287
20160317,13.07132
20160318,12.58913
20160319,4.12684
20160320,5.54261
20160321,13.31293
20160322,16.39328
20160323,
20160324,14.60000
20160325,9.59562
20160326,6.71789
20160327,3.84328
20160328,3.83297
20160329,7.01163
20160330,14.91796
20160331,9.72567
20160401,16.28788
20160402,14.92548
20160403,10.54542
20160404,12.52301
20160405,10.79624
20160406,7.37899
20160407,11.09120
20160408,29.31865
20160409,7.13562
20160410,8.06650
20160411,10.96942
20160412,8.59089
20160413,14.12574
20160414,13.23967
20160415,8.60944
20160416,7.23991
20160417,8.49546
20160418,10.86915
20160419,9.75276
20160420,14.58719
20160421,13.00819
20160422,9.15227
20160423,4.98538
20160424,5.52360
20160425,8.78346
20160426,8.62781
20160427,9.34444
20160428,10.03932
20160429,9.14344
20160430,10.04920
20160501,5.19964
20160502,3.37441
20160503,11.99769
20160504,9.59171
20160505,
20160506,13.09554
20160507,23.58958
20160508,5.15133
20160509,10.87106
20160510,10.46775
20160511,12.34560
20160512,10.68240
20160513,9.08964
20160514,6.94692
20160515,10.54200
20160516,10.79025
20160517,8.12525
20160518,8.10093
20160519,7.81883
20160520,8.37854
20160521,5.09288
20160522,7.43102
20160523,7.98517
20160524,5.57502
20160525,7.47409
20160526,10.25077
20160527,14.26398
20160528,
20160529,
20160530,
20160531,
20160601,
20160602,
20160603,
20160604,
20160605,
20160606,16.15731
20160607,14.68353
20160608,13.32975
20160609,9.52906
20160610,13.98826
20160611,11.88853
20160612,
20160613,
20160614,
20160615,
20160616,15.35358
20160617,12.85487
20160618,16.12069
20160619,6.87917
20160620,
20160621,
20160622,
20160623,
20160624,12.31700
20160625,10.72995
20160626,7.23869
20160627,12.71937
20160628,12.66261
20160629,4.81447
20160630,7.16295
20160701,6.45083
20160702,8.24259
20160703,6.82695
20160704,5.44565
20160705,9.93545
20160706,7.30000
20160707,8.11244
20160708,9.30011
20160709,5.39549
20160710,5.21917
20160711,4.73180
20160712,9.38344
20160713,10.46510
20160714,11.12045
20160715,8.09400
20160716,5.30702
20160717,5.34245
20160718,11.43440
20160719,14.50643
20160720,12.27792
20160721,11.43617
20160722,9.95902
20160723,7.81147
20160724,2.45681
20160725,6.85480
20160726,8.48666
20160727,3.13402
20160728,6.69079
20160729,7.12942
20160730,9.20905
20160731,3.84713
20160801,7.62463
20160802,5.26526
20160803,6.23684
20160804,6.32809
20160805,8.42730
20160806,5.17697
20160807,4.39639
20160808,10.05758
20160809,10.55264
20160810,9.81682
20160811,8.63003
20160812,6.16685
20160813,4.39261
20160814,4.63534
20160815,9.03367
20160816,9.36624
20160817,8.23424
20160818,7.42603
20160819,12.65845
20160820,6.25317
20160821,3.52704
20160822,5.03099
20160823,13.51710
20160824,11.12913
20160825,9.63343
20160826,12.75598
20160827,12.46019
20160828,9.80776
20160829,15.28919
20160830,8.57793
20160831,7.29235
20160901,6.47620
20160902,4.74294
20160903,4.54004
20160904,3.82165
20160905,9.29612
20160906,7.35793
20160907,11.04306
20160908,10.17604
20160909,5.96767
20160910,7.41656
20160911,8.11442
20160912,10.91263
20160913,15.44973
20160914,13.65704
20160915,11.66194
20160916,11.38360
20160917,6.37296
20160918,8.36075
20160919,11.87676
20160920,5.87041
20160921,11.79880
20160922,8.99366
20160923,
20160924,
20160925,5.97317
20160926,14.47518
20160927,7.25138
20160928,7.63724
20160929,8.19865
20160930,9.86952
20161001,10.75366
20161002,11.26667
20161003,15.85808
20161004,11.21350
20161005,9.62458
20161006,11.44555
20161007,10.12268
20161008,5.75957
20161009,4.94319
20161010,7.91924
20161011,10.05299
20161012,6.38219
20161013,9.60460
20161014,10.20860
20161015,12.32043
20161016,8.36234
20161017,13.17316
20161018,8.96728
20161019,10.94464
20161020,9.93078
20161021,10.26688
20161022,8.57118
20161023,7.88233
20161024,13.04721
20161025,22.44077
20161026,11.00516
20161027,6.68163
20161028,14.89223
20161029,16.50647
20161030,15.55233
20161031,17.81694
20161101,27.91000
20161102,15.98628
20161103,10.93177
20161104,15.09225
20161105,
20161106,
20161107,16.80000
20161108,14.57853
20161109,10.13761
20161110,14.37990
20161111,22.44421
20161112,10.97264
20161113,13.55260
20161114,8.54330
20161115,6.29882
20161116,3.66638
20161117,9.84632
20161118,8.59113
20161119,8.52602
20161120,5.64224
20161121,7.18911
20161122,10.98355
20161123,7.66429
20161124,8.99421
20161125,9.38596
20161126,7.91421
20161127,4.74582
20161128,
20161129,13.71487
20161130,29.50483
20161201,17.01939
20161202,
20161203,15.10000
20161204,17.46599
20161205,
20161206,
20161207,7.60000
20161208,5.29086
20161209,7.88748
20161210,9.93961
20161211,9.74149
20161212,11.24636
20161213,12.52700
20161214,27.86281
20161215,18.60041
20161216,20.04145
20161217,15.33478
20161218,11.18782
20161219,19.05004
20161220,17.77199
20161221,16.31916
20161222,10.04689
20161223,5.88263
20161224,6.12993
20161225,7.31548
20161226,12.45397
20161227,38.06732
20161228,22.06438
20161229,23.44969
20161230,13.28377
