date,value
20160101,6.71314
20160102,4.35988
20160103,5.32236
20160104,2.92374
20160105,3.70513
20160106,8.31517
20160107,5.78813
20160108,3.04326
20160109,5.53111
20160110,3.23868
20160111,4.25677
20160112,5.96851
20160113,4.69188
20160114,4.22490
20160115,4.39974
20160116,4.82773
20160117,4.64528
20160118,4.34487
20160119,8.93879
20160120,13.84442
20160121,12.01088
20160122,5.92454
20160123,4.63437
20160124,5.88985
20160125,6.89336
20160126,5.65514
20160127,
20160128,
20160129,
20160130,
20160131,
20160201,4.90627
20160202,4.34361
20160203,33.07422
20160204,4.31102
20160205,4.77837
20160206,7.98702
20160207,4.90151
20160208,10.23479
20160209,4.85289
20160210,3.97159
20160211,5.74095
20160212,4.86408
20160213,11.62964
20160214,7.19744
20160215,4.41503
20160216,8.05323
20160217,5.77926
20160218,7.50274
20160219,6.03566
20160220,5.09651
20160221,4.21223
20160222,5.04099
20160223,4.37329
20160224,7.49234
20160225,7.43587
20160226,8.35633
20160227,12.62261
20160228,5.50299
20160229,3.81470
20160301,5.35049
20160302,6.70858
20160303,5.11268
20160304,6.13664
20160305,6.73266
20160306,6.86222
20160307,5.10073
20160308,4.84303
20160309,8.08661
20160310,15.37779
20160311,32.02674
20160312,39.06406
20160313,28.54635
20160314,16.60409
20160315,11.69239
20160316,10.87416
20160317,14.38603
20160318,10.40246
20160319,4.62760
20160320,4.64797
20160321,9.98068
20160322,
20160323,14.62169
20160324,13.04327
20160325,4.54800
20160326,9.18384
20160327,10.32308
20160328,11.84196
20160329,4.71036
20160330,4.15099
20160331,4.76260
20160401,6.74789
20160402,13.31237
20160403,14.13517
20160404,5.76150
20160405,4.55994
20160406,6.68527
20160407,3.47256
20160408,4.03611
20160409,4.28847
20160410,4.36619
20160411,12.06456
20160412,4.63404
20160413,5.70319
20160414,6.90600
20160415,7.24626
20160416,5.27275
20160417,3.94139
20160418,3.77711
20160419,4.50309
20160420,6.64062
20160421,5.99642
20160422,8.46012
20160423,4.28323
20160424,4.72368
20160425,6.76380
20160426,6.09669
20160427,7.94232
20160428,8.46466
20160429,5.02665
20160430,4.90753
20160501,6.16444
20160502,7.22771
20160503,4.52180
20160504,8.37327
20160505,
20160506,28.55075
20160507,29.97726
20160508,7.23785
20160509,12.11245
20160510,19.47465
20160511,22.34022
20160512,17.79910
20160513,7.70664
20160514,5.00568
20160515,6.38571
20160516,8.44476
20160517,9.70949
20160518,6.31711
20160519,7.55320
20160520,5.63369
20160521,8.86246
20160522,7.21620
20160523,6.65486
20160524,6.63724
20160525,4.86173
20160526,8.87948
20160527,9.42134
20160528,
20160529,
20160530,
20160531,
20160601,
20160602,
20160603,
20160604,
20160605,
20160606,4.55760
20160607,7.37650
20160608,9.59764
20160609,9.14608
20160610,6.84652
20160611,9.18958
20160612,
20160613,
20160614,
20160615,
20160616,3.28186
20160617,4.69489
20160618,4.01637
20160619,5.48992
20160620,
20160621,
20160622,
20160623,
20160624,7.19250
20160625,6.02341
20160626,3.85970
20160627,5.66204
20160628,4.21258
20160629,3.28130
20160630,4.04549
20160701,3.74662
20160702,4.44207
20160703,3.62109
20160704,3.65676
20160705,6.78544
20160706,4.56378
20160707,3.59157
20160708,3.55797
20160709,4.40531
20160710,4.13556
20160711,6.03971
20160712,7.20387
20160713,4.55791
20160714,3.19349
20160715,4.24614
20160716,3.54098
20160717,21.61358
20160718,6.42059
20160719,6.29735
20160720,10.09751
20160721,3.82997
20160722,6.09767
20160723,5.79812
20160724,4.98049
20160725,5.93526
20160726,4.06974
20160727,6.51680
20160728,5.30353
20160729,5.91164
20160730,5.69867
20160731,3.82979
20160801,5.48994
20160802,5.49942
20160803,6.28346
20160804,6.80033
20160805,5.24384
20160806,3.55198
20160807,5.51123
20160808,4.13003
20160809,4.17429
20160810,3.43731
20160811,3.93756
20160812,2.88696
20160813,3.74711
20160814,2.98837
20160815,3.64236
20160816,4.11886
20160817,5.56120
20160818,8.51804
20160819,15.66644
20160820,6.04060
20160821,3.62545
20160822,3.41845
20160823,3.50525
20160824,7.52338
20160825,8.83840
20160826,12.91233
20160827,10.98241
20160828,11.40102
20160829,6.81920
20160830,5.33964
20160831,6.68964
20160901,4.64309
20160902,5.16222
20160903,5.10379
20160904,4.69359
20160905,3.77650
20160906,5.33298
20160907,6.80495
20160908,7.11992
20160909,4.14509
20160910,4.87958
20160911,4.29089
20160912,3.37711
20160913,6.61270
20160914,8.77578
20160915,7.88204
20160916,7.59987
20160917,2.93721
20160918,6.01248
20160919,6.76751
20160920,7.41345
20160921,9.43269
20160922,14.76279
20160923,
20160924,
20160925,7.01407
20160926,6.51424
20160927,5.05065
20160928,5.19569
20160929,4.94323
20160930,5.53044
20161001,5.66297
20161002,4.48186
20161003,6.46523
20161004,6.24723
20161005,5.64762
20161006,5.49854
20161007,4.64664
20161008,3.78649
20161009,4.83380
20161010,4.14175
20161011,5.21797
20161012,6.32763
20161013,6.28186
20161014,6.51834
20161015,9.13378
20161016,4.54977
20161017,6.01875
20161018,4.87300
20161019,4.52096
20161020,5.06892
20161021,4.06520
20161022,4.67800
20161023,8.38205
20161024,8.66772
20161025,13.39802
20161026,13.07605
20161027,7.87308
20161028,4.02134
20161029,10.81368
20161030,20.58780
20161031,26.65038
20161101,14.34295
20161102,8.34929
20161103,22.47720
20161104,8.59074
20161105,8.06974
20161106,6.25151
20161107,5.71348
20161108,8.61558
20161109,5.26498
20161110,4.58555
20161111,7.21057
20161112,7.03944
20161113,7.07837
20161114,7.70158
20161115,7.06639
20161116,5.93182
20161117,7.58949
20161118,4.48998
20161119,5.12557
20161120,7.43867
20161121,6.68870
20161122,7.72802
20161123,4.86291
20161124,5.38215
20161125,2.83432
20161126,6.54172
20161127,6.90284
20161128,
20161129,8.03105
20161130,19.08149
20161201,16.34251
20161202,13.99367
20161203,4.55785
20161204,7.65307
20161205,18.85952
20161206,24.43877
20161207,14.54201
20161208,10.24888
20161209,11.37286
20161210,8.81221
20161211,6.25747
20161212,6.87239
20161213,7.96811
20161214,11.43953
20161215,8.50293
20161216,14.04903
20161217,14.19222
20161218,14.37098
20161219,19.95786
20161220,17.24986
20161221,5.86978
20161222,4.54292
20161223,5.78461
20161224,4.26506
20161225,4.41223
20161226,3.54469
20161227,17.02787
20161228,19.86067
20161229,14.35236
20161230,16.35530
