date,value
20160101,13.75911
20160102,4.88437
20160103,10.77931
20160104,12.61448
20160105,14.96806
20160106,18.24799
20160107,8.37231
20160108,13.47541
20160109,10.39428
20160110,5.47870
20160111,9.47385
20160112,10.32039
20160113,15.85894
20160114,12.71402
20160115,9.28180
20160116,22.00110
20160117,10.81520
20160118,13.57882
20160119,32.27687
20160120,41.73301
20160121,31.94223
20160122,17.14002
20160123,13.07425
20160124,5.68269
20160125,13.42296
20160126,9.49759
20160127,6.30249
20160128,8.59327
20160129,6.45623
20160130,8.57281
20160131,5.07962
20160201,10.29113
20160202,13.11564
20160203,35.39354
20160204,7.98914
20160205,7.59942
20160206,10.37539
20160207,5.97424
20160208,10.81438
20160209,13.54645
20160210,15.37272
20160211,25.08332
20160212,18.00836
20160213,17.06888
20160214,6.90431
20160215,10.85950
20160216,30.32804
20160217,25.79201
20160218,22.99105
20160219,14.98061
20160220,8.50197
20160221,8.60143
20160222,15.83514
20160223,12.28429
20160224,17.90527
20160225,22.44745
20160226,20.72071
20160227,18.21220
20160228,6.24320
20160229,15.84658
20160301,11.07486
20160302,11.17086
20160303,17.79072
20160304,18.08274
20160305,18.65710
20160306,25.81756
20160307,24.48374
20160308,19.79103
20160309,12.62486
20160310,36.80198
20160311,61.32353
20160312,57.67311
20160313,37.82524
20160314,23.39095
20160315,16.95170
20160316,16.69294
20160317,25.78897
20160318,14.22675
20160319,6.92046
20160320,7.69426
20160321,21.57037
20160322,
20160323,
20160324,20.20000
20160325,12.61836
20160326,10.88220
20160327,10.93320
20160328,12.84823
20160329,8.38156
20160330,13.12938
20160331,11.16990
20160401,19.03907
20160402,22.59393
20160403,20.81885
20160404,15.37191
20160405,12.17363
20160406,8.92050
20160407,10.67725
20160408,30.65994
20160409,7.09941
20160410,7.72985
20160411,20.66578
20160412,9.92205
20160413,13.89584
20160414,15.33834
20160415,14.17276
20160416,9.79691
20160417,9.78795
20160418,9.51027
20160419,9.37279
20160420,12.45862
20160421,13.69804
20160422,14.26629
20160423,7.70593
20160424,7.79691
20160425,12.61660
20160426,10.90285
20160427,13.44764
20160428,14.24318
20160429,11.72971
20160430,13.21752
20160501,8.68077
20160502,8.88503
20160503,15.33326
20160504,18.64262
20160505,16.76043
20160506,24.11120
20160507,23.99721
20160508,10.23498
20160509,17.63220
20160510,23.66827
20160511,27.28862
20160512,20.39876
20160513,15.08978
20160514,9.20725
20160515,14.37026
20160516,17.43940
20160517,14.52808
20160518,13.58212
20160519,12.63379
20160520,12.33998
20160521,11.58300
20160522,11.72075
20160523,10.89700
20160524,10.30546
20160525,10.48111
20160526,17.73466
20160527,20.92085
20160528,21.60016
20160529,7.60662
20160530,4.96635
20160531,4.86678
20160601,4.41648
20160602,6.75363
20160603,9.44226
20160604,15.95727
20160605,16.81282
20160606,19.95572
20160607,19.92426
20160608,21.10382
20160609,17.51287
20160610,17.03713
20160611,18.25617
20160612,15.20326
20160613,14.37988
20160614,10.58125
20160615,9.81860
20160616,14.90500
20160617,11.69449
20160618,14.61502
20160619,7.91743
20160620,8.43400
20160621,10.77771
20160622,12.27185
20160623,13.10262
20160624,8.20941
20160625,8.74834
20160626,5.40307
20160627,13.09225
20160628,13.86463
20160629,6.49898
20160630,7.90971
20160701,7.03488
20160702,7.71242
20160703,6.60317
20160704,6.95980
20160705,11.91015
20160706,6.90000
20160707,9.08199
20160708,10.30308
20160709,6.40473
20160710,7.66015
20160711,6.71882
20160712,12.40494
20160713,12.10942
20160714,10.72224
20160715,7.88937
20160716,6.95294
20160717,21.74953
20160718,13.97379
20160719,15.61154
20160720,16.33322
20160721,13.45764
20160722,14.70450
20160723,10.57572
20160724,5.34337
20160725,10.40931
20160726,9.08907
20160727,6.85642
20160728,9.04067
20160729,10.63749
20160730,12.97298
20160731,6.44983
20160801,10.59783
20160802,7.09521
20160803,10.23358
20160804,8.87676
20160805,10.92289
20160806,6.54815
20160807,7.76251
20160808,11.06522
20160809,10.83892
20160810,12.61361
20160811,5.27324
20160812,6.80129
20160813,5.85660
20160814,6.42392
20160815,10.66591
20160816,12.02055
20160817,11.84973
20160818,14.29289
20160819,20.07221
20160820,8.27985
20160821,4.67441
20160822,6.51850
20160823,15.12990
20160824,14.46548
20160825,17.18813
20160826,17.55820
20160827,14.27237
20160828,8.13224
20160829,16.09629
20160830,12.32072
20160831,10.30174
20160901,9.27773
20160902,8.67114
20160903,6.97691
20160904,6.59000
20160905,10.83334
20160906,11.60958
20160907,15.91397
20160908,12.21225
20160909,7.71881
20160910,10.22008
20160911,10.97135
20160912,11.98041
20160913,16.67734
20160914,15.99435
20160915,15.11569
20160916,17.10954
20160917,7.88355
20160918,13.08009
20160919,17.05228
20160920,11.52620
20160921,17.30026
20160922,11.99239
20160923,12.17473
20160924,12.17349
20160925,8.33356
20160926,15.27972
20160927,9.14800
20160928,10.21731
20160929,10.16353
20160930,10.38575
20161001,12.65484
20161002,12.27730
20161003,17.38353
20161004,14.98640
20161005,11.45592
20161006,12.18149
20161007,12.17463
20161008,8.00528
20161009,7.81542
20161010,9.89002
20161011,12.55958
20161012,10.23736
20161013,14.24311
20161014,15.61916
20161015,17.00581
20161016,9.99881
20161017,15.78234
20161018,10.95486
20161019,10.53155
20161020,11.22756
20161021,12.16064
20161022,11.01079
20161023,13.92103
20161024,20.02006
20161025,32.45132
20161026,17.03011
20161027,11.47473
20161028,15.30950
20161029,19.92083
20161030,25.23466
20161031,42.68006
20161101,27.62637
20161102,20.63284
20161103,24.93987
20161104,20.71307
20161105,
20161106,
20161107,20.80000
20161108,22.06228
20161109,13.22989
20161110,14.81571
20161111,26.83782
20161112,15.16117
20161113,17.30528
20161114,12.74924
20161115,12.31407
20161116,9.53150
20161117,12.59335
20161118,8.69039
20161119,10.42213
20161120,9.16925
20161121,12.34221
20161122,9.99763
20161123,10.80647
20161124,8.00452
20161125,8.64583
20161126,10.67817
20161127,7.02763
20161128,10.26407
20161129,21.70668
20161130,43.36474
20161201,30.08804
20161202,
20161203,20.40000
20161204,22.76693
20161205,
20161206,
20161207,17.50000
20161208,14.85907
20161209,17.53430
20161210,13.70203
20161211,12.30287
20161212,16.13819
20161213,18.31107
20161214,30.68083
20161215,25.31013
20161216,33.34616
20161217,26.24664
20161218,24.47286
20161219,37.29695
20161220,33.65394
20161221,19.09779
20161222,12.99958
20161223,8.62770
20161224,7.04063
20161225,7.43877
20161226,12.15075
20161227,29.99337
20161228,23.16607
20161229,33.90696
20161230,22.96896
