date,value
20160101,12.65129
20160102,4.48638
20160103,7.44660
20160104,5.86501
20160105,5.61977
20160106,8.21789
20160107,6.82667
20160108,6.33222
20160109,5.05073
20160110,6.67673
20160111,4.06858
20160112,6.63487
20160113,7.90214
20160114,6.19156
20160115,7.33255
20160116,9.16251
20160117,3.93509
20160118,7.31628
20160119,21.80134
20160120,11.49026
20160121,8.42925
20160122,11.28842
20160123,11.02226
20160124,5.55566
20160125,9.34793
20160126,10.73404
20160127,5.50155
20160128,11.20737
20160129,6.11288
20160130,6.57225
20160131,7.27650
20160201,9.23830
20160202,11.14223
20160203,37.17046
20160204,5.83720
20160205,4.07157
20160206,8.48528
20160207,7.45524
20160208,14.21070
20160209,7.08225
20160210,6.32364
20160211,7.23239
20160212,4.78790
20160213,8.37178
20160214,6.62433
20160215,8.67907
20160216,5.94877
20160217,6.86772
20160218,13.37679
20160219,6.96191
20160220,5.33657
20160221,4.66773
20160222,7.18439
20160223,9.59921
20160224,19.21872
20160225,14.65569
20160226,6.15194
20160227,8.43656
20160228,6.49784
20160229,5.98786
20160301,6.17770
20160302,6.95373
20160303,5.66130
20160304,6.51959
20160305,5.35342
20160306,6.36396
20160307,7.41740
20160308,8.20675
20160309,7.39123
20160310,10.48171
20160311,28.48504
20160312,32.88015
20160313,23.14061
20160314,13.25182
20160315,8.12042
20160316,10.20327
20160317,
20160318,
20160319,
20160320,
20160321,
20160322,
20160323,
20160324,
20160325,
20160326,
20160327,
20160328,
20160329,
20160330,
20160331,
20160401,
20160402,
20160403,
20160404,4.08922
20160405,4.90259
20160406,7.52471
20160407,5.00267
20160408,4.03317
20160409,3.81136
20160410,7.13257
20160411,8.83428
20160412,3.34338
20160413,7.54864
20160414,5.62305
20160415,7.04747
20160416,5.53656
20160417,5.77278
20160418,5.59038
20160419,10.05205
20160420,14.92270
20160421,10.82060
20160422,12.25404
20160423,5.08204
20160424,4.29513
20160425,6.21230
20160426,7.32287
20160427,7.05340
20160428,7.04897
20160429,5.25086
20160430,4.69044
20160501,3.91716
20160502,5.83894
20160503,4.00513
20160504,3.96060
20160505,4.50193
20160506,10.77047
20160507,22.96973
20160508,4.99341
20160509,10.89900
20160510,16.75380
20160511,20.81192
20160512,12.49301
20160513,5.25689
20160514,6.41224
20160515,5.52730
20160516,5.29774
20160517,6.96462
20160518,6.14248
20160519,6.24917
20160520,4.92676
20160521,10.38089
20160522,6.88751
20160523,6.85948
20160524,5.84181
20160525,2.99125
20160526,7.94484
20160527,11.57211
20160528,16.86412
20160529,9.72079
20160530,5.46753
20160531,3.63908
20160601,4.32534
20160602,3.87058
20160603,5.13481
20160604,9.50430
20160605,8.57850
20160606,6.49074
20160607,6.54259
20160608,7.74748
20160609,6.60372
20160610,6.46422
20160611,10.38350
20160612,9.87900
20160613,5.97075
20160614,6.95309
20160615,4.27051
20160616,6.91960
20160617,7.04767
20160618,4.38512
20160619,6.59658
20160620,8.02851
20160621,4.22861
20160622,7.27293
20160623,7.87202
20160624,5.18058
20160625,5.71084
